Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2013,0.02,0.04,0.08,0.14,0.20,0.26,0.31,0.33,0.34,0.34,0.33,0.31,0.29,0.27,0.26,0.25,0.24,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21
2014,0.02,0.04,0.09,0.15,0.22,0.28,0.33,0.36,0.37,0.37,0.35,0.33,0.31,0.29,0.28,0.27,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22
2015,0.02,0.04,0.07,0.12,0.18,0.23,0.27,0.30,0.31,0.30,0.29,0.27,0.26,0.24,0.23,0.22,0.21,0.21,0.20,0.20,0.20,0.19,0.19,0.19,0.19,0.19
2016,0.01,0.03,0.07,0.11,0.16,0.21,0.25,0.27,0.28,0.27,0.26,0.25,0.23,0.22,0.21,0.20,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17
2017,0.01,0.02,0.04,0.07,0.10,0.13,0.15,0.16,0.17,0.17,0.16,0.16,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11
2018,0.01,0.02,0.04,0.07,0.10,0.13,0.15,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11
2019,0.01,0.03,0.06,0.09,0.13,0.17,0.20,0.22,0.22,0.22,0.22,0.20,0.19,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15
2020,0.01,0.02,0.04,0.07,0.11,0.13,0.16,0.17,0.18,0.17,0.17,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11
2021,0.01,0.02,0.05,0.09,0.13,0.16,0.19,0.20,0.21,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13
2022,0.01,0.02,0.05,0.08,0.11,0.15,0.17,0.18,0.19,0.19,0.18,0.17,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
2023,0.01,0.02,0.03,0.05,0.08,0.10,0.12,0.13,0.13,0.13,0.13,0.12,0.11,0.10,0.10,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
